"심사년도","국민관심진료행위코드","국민관심진료행위명","성별구분","의료 서비스","5세연령대","환자수","1인당_평균사용량","1인당_평균진료금"
"2020-2024","0001",C형간염(hepatitis C)검사,여,통원,"10_14세",17211.0,1.1,18105.0
"2020-2024","0001",C형간염(hepatitis C)검사,남,통원,"10_14세",30548.4,1.1,18115.0
"2020-2024","0001",C형간염(hepatitis C)검사,여,통원,"15_19세",32763.4,1.1,18992.0
"2020-2024","0001",C형간염(hepatitis C)검사,남,통원,"15_19세",54722.6,1.1,18695.0
"2020-2024","0001",C형간염(hepatitis C)검사,여,통원,"1_4세",10065.8,1.1,18237.0
"2020-2024","0001",C형간염(hepatitis C)검사,남,통원,"1_4세",13945.0,1.1,18136.0
"2020-2024","0001",C형간염(hepatitis C)검사,여,통원,"20_24세",64039.2,1.1,19247.0
"2020-2024","0001",C형간염(hepatitis C)검사,남,통원,"20_24세",78948.8,1.1,18763.0
"2020-2024","0001",C형간염(hepatitis C)검사,여,통원,"25_29세",100976.4,1.1,18595.0
"2020-2024","0001",C형간염(hepatitis C)검사,남,통원,"25_29세",97873.6,1.1,18649.0
"2020-2024","0001",C형간염(hepatitis C)검사,여,통원,"30_34세",147226.4,1.2,18044.0
"2020-2024","0001",C형간염(hepatitis C)검사,남,통원,"30_34세",106969.8,1.1,18694.0
"2020-2024","0001",C형간염(hepatitis C)검사,여,통원,"35_39세",147769.0,1.2,18506.0
"2020-2024","0001",C형간염(hepatitis C)검사,남,통원,"35_39세",120916.4,1.2,19002.0
"2020-2024","0001",C형간염(hepatitis C)검사,여,통원,"40_44세",155860.6,1.2,19512.0
"2020-2024","0001",C형간염(hepatitis C)검사,남,통원,"40_44세",146472.4,1.2,19698.0
"2020-2024","0001",C형간염(hepatitis C)검사,여,통원,"45_49세",167177.2,1.2,20510.0
"2020-2024","0001",C형간염(hepatitis C)검사,남,통원,"45_49세",154008.8,1.2,20985.0
"2020-2024","0001",C형간염(hepatitis C)검사,여,통원,"50_54세",209846.0,1.2,21517.0
"2020-2024","0001",C형간염(hepatitis C)검사,남,통원,"50_54세",184818.6,1.2,22971.0
"2020-2024","0001",C형간염(hepatitis C)검사,여,통원,"55_59세",222533.4,1.2,22232.0
"2020-2024","0001",C형간염(hepatitis C)검사,남,통원,"55_59세",203440.0,1.2,23262.0
"2020-2024","0001",C형간염(hepatitis C)검사,여,통원,"5_9세",16726.8,1.1,16950.0
"2020-2024","0001",C형간염(hepatitis C)검사,남,통원,"5_9세",22908.8,1.1,17218.0
"2020-2024","0001",C형간염(hepatitis C)검사,여,통원,"60_64세",258071.0,1.2,22600.0
"2020-2024","0001",C형간염(hepatitis C)검사,남,통원,"60_64세",238646.4,1.3,23215.0
"2020-2024","0001",C형간염(hepatitis C)검사,여,통원,"65_69세",222041.2,1.3,23101.0
"2020-2024","0001",C형간염(hepatitis C)검사,남,통원,"65_69세",204847.8,1.3,23527.0
"2020-2024","0001",C형간염(hepatitis C)검사,여,통원,"70_74세",175557.4,1.3,23618.0
"2020-2024","0001",C형간염(hepatitis C)검사,남,통원,"70_74세",161027.2,1.3,24005.0
"2020-2024","0001",C형간염(hepatitis C)검사,여,통원,"75_79세",150238.6,1.3,24260.0
"2020-2024","0001",C형간염(hepatitis C)검사,남,통원,"75_79세",127255.0,1.4,24670.0
"2020-2024","0001",C형간염(hepatitis C)검사,여,통원,"80세 이상",232299.8,1.3,24321.0
"2020-2024","0001",C형간염(hepatitis C)검사,남,통원,"80세 이상",143662.6,1.4,24992.0
"2020-2024","0002",가정간호,여,가정간호,"10_14세",45.0,14.9,1102019.0
"2020-2024","0002",가정간호,남,가정간호,"10_14세",59.4,11.5,860589.0
"2020-2024","0002",가정간호,여,가정간호,"15_19세",51.2,14.4,1074874.0
"2020-2024","0002",가정간호,남,가정간호,"15_19세",73.6,8.1,597471.0
"2020-2024","0002",가정간호,여,가정간호,"1_4세",49.0,16.9,1303664.0
"2020-2024","0002",가정간호,남,가정간호,"1_4세",50.0,14.9,1139251.0
"2020-2024","0002",가정간호,여,가정간호,"20_24세",84.4,7.0,526839.0
"2020-2024","0002",가정간호,남,가정간호,"20_24세",117.2,10.5,771216.0
"2020-2024","0002",가정간호,여,가정간호,"25_29세",176.6,3.9,282772.0
"2020-2024","0002",가정간호,남,가정간호,"25_29세",140.0,10.7,790852.0
"2020-2024","0002",가정간호,여,가정간호,"30_34세",676.6,2.3,171091.0
"2020-2024","0002",가정간호,남,가정간호,"30_34세",132.0,10.1,745423.0
"2020-2024","0002",가정간호,여,가정간호,"35_39세",737.0,3.0,220205.0
"2020-2024","0002",가정간호,남,가정간호,"35_39세",141.6,11.3,829640.0
"2020-2024","0002",가정간호,여,가정간호,"40_44세",466.8,5.2,384496.0
"2020-2024","0002",가정간호,남,가정간호,"40_44세",191.4,12.0,882150.0
"2020-2024","0002",가정간호,여,가정간호,"45_49세",400.8,8.2,593972.0
"2020-2024","0002",가정간호,남,가정간호,"45_49세",238.0,10.7,757620.0
"2020-2024","0002",가정간호,여,가정간호,"50_54세",557.0,9.9,712360.0
"2020-2024","0002",가정간호,남,가정간호,"50_54세",372.4,11.5,813674.0
"2020-2024","0002",가정간호,여,가정간호,"55_59세",823.6,9.7,671398.0
"2020-2024","0002",가정간호,남,가정간호,"55_59세",671.4,9.8,662602.0
"2020-2024","0002",가정간호,여,가정간호,"5_9세",31.2,29.2,2187101.0
"2020-2024","0002",가정간호,남,가정간호,"5_9세",36.8,22.5,1675586.0
"2020-2024","0002",가정간호,여,가정간호,"60_64세",1402.6,9.5,644236.0
"2020-2024","0002",가정간호,남,가정간호,"60_64세",1274.0,9.4,627041.0
"2020-2024","0002",가정간호,여,가정간호,"65_69세",2161.8,9.0,571359.0
"2020-2024","0002",가정간호,남,가정간호,"65_69세",2047.4,9.1,576139.0
"2020-2024","0002",가정간호,여,가정간호,"70_74세",3553.8,8.5,493357.0
"2020-2024","0002",가정간호,남,가정간호,"70_74세",2980.6,9.0,544060.0
"2020-2024","0002",가정간호,여,가정간호,"75_79세",7845.8,8.0,424251.0
"2020-2024","0002",가정간호,남,가정간호,"75_79세",4526.2,8.4,486542.0
"2020-2024","0002",가정간호,여,가정간호,"80세 이상",54064.4,7.3,340702.0
"2020-2024","0002",가정간호,남,가정간호,"80세 이상",15572.6,7.6,402816.0
"2020-2024","0003",간암열치료술,여,수술,"10_14세",1.7,0.9,600128.0
"2020-2024","0003",간암열치료술,남,수술,"15_19세",1.0,1.0,695065.0
"2020-2024","0003",간암열치료술,여,수술,"20_24세",1.3,1.6,1076472.0
"2020-2024","0003",간암열치료술,남,수술,"20_24세",1.0,1.0,493363.0
"2020-2024","0003",간암열치료술,여,수술,"25_29세",1.6,1.4,982461.0
"2020-2024","0003",간암열치료술,남,수술,"25_29세",3.4,1.2,753007.0
"2020-2024","0003",간암열치료술,여,수술,"30_34세",3.4,1.3,653228.0
"2020-2024","0003",간암열치료술,남,수술,"30_34세",4.2,1.1,669058.0
"2020-2024","0003",간암열치료술,여,수술,"35_39세",10.2,1.1,665329.0
"2020-2024","0003",간암열치료술,남,수술,"35_39세",15.6,1.1,674486.0
"2020-2024","0003",간암열치료술,여,수술,"40_44세",20.2,1.1,689485.0
"2020-2024","0003",간암열치료술,남,수술,"40_44세",50.2,1.1,672522.0
"2020-2024","0003",간암열치료술,여,수술,"45_49세",31.2,1.1,666296.0
"2020-2024","0003",간암열치료술,남,수술,"45_49세",95.8,1.1,689821.0
"2020-2024","0003",간암열치료술,여,수술,"50_54세",52.0,1.1,686801.0
"2020-2024","0003",간암열치료술,남,수술,"50_54세",222.0,1.1,671604.0
"2020-2024","0003",간암열치료술,여,수술,"55_59세",77.2,1.1,674669.0
"2020-2024","0003",간암열치료술,남,수술,"55_59세",370.6,1.1,674645.0
"2020-2024","0003",간암열치료술,여,수술,"60_64세",122.0,1.1,666574.0
"2020-2024","0003",간암열치료술,남,수술,"60_64세",533.2,1.1,677064.0
"2020-2024","0003",간암열치료술,여,수술,"65_69세",152.0,1.1,686449.0
"2020-2024","0003",간암열치료술,남,수술,"65_69세",536.2,1.1,676771.0
"2020-2024","0003",간암열치료술,여,수술,"70_74세",151.6,1.1,664386.0
"2020-2024","0003",간암열치료술,남,수술,"70_74세",454.4,1.1,679249.0
"2020-2024","0003",간암열치료술,여,수술,"75_79세",121.6,1.1,669928.0
"2020-2024","0003",간암열치료술,남,수술,"75_79세",288.8,1.1,678454.0
"2020-2024","0003",간암열치료술,여,수술,"80세 이상",98.6,1.1,670486.0
"2020-2024","0003",간암열치료술,남,수술,"80세 이상",187.6,1.1,674151.0
"2020-2024","0004",갑상선 수술,여,수술,"10_14세",28.2,1.1,1035413.0
"2020-2024","0004",갑상선 수술,남,수술,"10_14세",9.2,1.0,966468.0
"2020-2024","0004",갑상선 수술,여,수술,"15_19세",104.8,1.1,963553.0
"2020-2024","0004",갑상선 수술,남,수술,"15_19세",38.8,1.1,958892.0
"2020-2024","0004",갑상선 수술,여,수술,"1_4세",1.0,1.0,1548209.0
"2020-2024","0004",갑상선 수술,남,수술,"1_4세",1.0,1.0,1829086.0
"2020-2024","0004",갑상선 수술,여,수술,"20_24세",426.0,1.1,934549.0
"2020-2024","0004",갑상선 수술,남,수술,"20_24세",127.0,1.1,955986.0
"2020-2024","0004",갑상선 수술,여,수술,"25_29세",1129.4,1.1,891303.0
"2020-2024","0004",갑상선 수술,남,수술,"25_29세",442.0,1.1,908845.0
"2020-2024","0004",갑상선 수술,여,수술,"30_34세",1828.8,1.1,866147.0
"2020-2024","0004",갑상선 수술,남,수술,"30_34세",808.8,1.1,893257.0
"2020-2024","0004",갑상선 수술,여,수술,"35_39세",2398.6,1.1,855050.0
"2020-2024","0004",갑상선 수술,남,수술,"35_39세",1021.4,1.1,875078.0
"2020-2024","0004",갑상선 수술,여,수술,"40_44세",3281.2,1.1,856834.0
"2020-2024","0004",갑상선 수술,남,수술,"40_44세",1258.0,1.1,864700.0
"2020-2024","0004",갑상선 수술,여,수술,"45_49세",3055.6,1.1,857451.0
"2020-2024","0004",갑상선 수술,남,수술,"45_49세",1062.4,1.1,870693.0
"2020-2024","0004",갑상선 수술,여,수술,"50_54세",3346.4,1.1,859211.0
"2020-2024","0004",갑상선 수술,남,수술,"50_54세",1065.0,1.1,865980.0
"2020-2024","0004",갑상선 수술,여,수술,"55_59세",2860.0,1.1,858484.0
"2020-2024","0004",갑상선 수술,남,수술,"55_59세",961.0,1.2,867356.0
"2020-2024","0004",갑상선 수술,여,수술,"5_9세",3.3,1.2,914290.0
"2020-2024","0004",갑상선 수술,남,수술,"5_9세",2.0,1.0,1031344.0
"2020-2024","0004",갑상선 수술,여,수술,"60_64세",2702.8,1.1,872212.0
"2020-2024","0004",갑상선 수술,남,수술,"60_64세",905.0,1.1,862524.0
"2020-2024","0004",갑상선 수술,여,수술,"65_69세",1670.8,1.2,877410.0
"2020-2024","0004",갑상선 수술,남,수술,"65_69세",583.8,1.1,855622.0
"2020-2024","0004",갑상선 수술,여,수술,"70_74세",944.2,1.1,891875.0
"2020-2024","0004",갑상선 수술,남,수술,"70_74세",309.0,1.1,865809.0
"2020-2024","0004",갑상선 수술,여,수술,"75_79세",463.0,1.2,904848.0
"2020-2024","0004",갑상선 수술,남,수술,"75_79세",161.8,1.1,866025.0
"2020-2024","0004",갑상선 수술,여,수술,"80세 이상",206.0,1.2,945511.0
"2020-2024","0004",갑상선 수술,남,수술,"80세 이상",75.2,1.1,879059.0
"2020-2024","0005",격리실 입원료_일반,여,입원,"10_14세",7017.6,4.0,684373.0
"2020-2024","0005",격리실 입원료_일반,남,입원,"10_14세",7986.6,3.9,686881.0
"2020-2024","0005",격리실 입원료_일반,여,입원,"15_19세",4195.8,4.2,732632.0
"2020-2024","0005",격리실 입원료_일반,남,입원,"15_19세",4283.6,4.3,768443.0
"2020-2024","0005",격리실 입원료_일반,여,입원,"1_4세",22301.8,3.5,637106.0
"2020-2024","0005",격리실 입원료_일반,남,입원,"1_4세",25187.0,3.4,638425.0
"2020-2024","0005",격리실 입원료_일반,여,입원,"20_24세",3222.4,4.8,845358.0
"2020-2024","0005",격리실 입원료_일반,남,입원,"20_24세",2901.0,5.1,921792.0
"2020-2024","0005",격리실 입원료_일반,여,입원,"25_29세",3682.0,4.5,786212.0
"2020-2024","0005",격리실 입원료_일반,남,입원,"25_29세",3046.0,5.7,1023727.0
"2020-2024","0005",격리실 입원료_일반,여,입원,"30_34세",4590.8,4.4,757800.0
"2020-2024","0005",격리실 입원료_일반,남,입원,"30_34세",3040.6,5.7,1011842.0
"2020-2024","0005",격리실 입원료_일반,여,입원,"35_39세",5423.4,4.9,839008.0
"2020-2024","0005",격리실 입원료_일반,남,입원,"35_39세",3794.4,6.1,1054891.0
"2020-2024","0005",격리실 입원료_일반,여,입원,"40_44세",5598.2,5.6,961495.0
"2020-2024","0005",격리실 입원료_일반,남,입원,"40_44세",4607.2,6.6,1145188.0
"2020-2024","0005",격리실 입원료_일반,여,입원,"45_49세",5334.6,6.8,1185429.0
"2020-2024","0005",격리실 입원료_일반,남,입원,"45_49세",4863.0,8.0,1372921.0
"2020-2024","0005",격리실 입원료_일반,여,입원,"50_54세",6443.0,7.5,1280738.0
"2020-2024","0005",격리실 입원료_일반,남,입원,"50_54세",5939.0,9.9,1638876.0
"2020-2024","0005",격리실 입원료_일반,여,입원,"55_59세",7346.4,8.2,1372606.0
"2020-2024","0005",격리실 입원료_일반,남,입원,"55_59세",7063.2,11.0,1810424.0
"2020-2024","0005",격리실 입원료_일반,여,입원,"5_9세",12651.0,3.6,628153.0
"2020-2024","0005",격리실 입원료_일반,남,입원,"5_9세",13822.8,3.6,634862.0
"2020-2024","0005",격리실 입원료_일반,여,입원,"60_64세",9846.2,9.3,1534042.0
"2020-2024","0005",격리실 입원료_일반,남,입원,"60_64세",9957.0,12.1,1936073.0
"2020-2024","0005",격리실 입원료_일반,여,입원,"65_69세",9885.8,11.0,1724402.0
"2020-2024","0005",격리실 입원료_일반,남,입원,"65_69세",10763.2,13.3,2054811.0
"2020-2024","0005",격리실 입원료_일반,여,입원,"70_74세",10331.0,13.4,1916108.0
"2020-2024","0005",격리실 입원료_일반,남,입원,"70_74세",11406.4,14.4,2134102.0
"2020-2024","0005",격리실 입원료_일반,여,입원,"75_79세",12902.6,15.5,2034478.0
"2020-2024","0005",격리실 입원료_일반,남,입원,"75_79세",12427.6,15.6,2192611.0
"2020-2024","0005",격리실 입원료_일반,여,입원,"80세 이상",42637.2,15.7,1781984.0
"2020-2024","0005",격리실 입원료_일반,남,입원,"80세 이상",24222.4,16.4,2102797.0
"2020-2024","0006",격리실 입원료_음압,여,입원,"10_14세",745.2,6.6,1453811.0
"2020-2024","0006",격리실 입원료_음압,남,입원,"10_14세",937.0,6.8,1480193.0
"2020-2024","0006",격리실 입원료_음압,여,입원,"15_19세",900.0,6.6,1439790.0
"2020-2024","0006",격리실 입원료_음압,남,입원,"15_19세",1020.6,7.2,1568556.0
"2020-2024","0006",격리실 입원료_음압,여,입원,"1_4세",1431.0,4.7,1165126.0
"2020-2024","0006",격리실 입원료_음압,남,입원,"1_4세",1595.2,4.6,1156465.0
"2020-2024","0006",격리실 입원료_음압,여,입원,"20_24세",1217.0,6.8,1522104.0
"2020-2024","0006",격리실 입원료_음압,남,입원,"20_24세",1102.4,7.3,1635442.0
"2020-2024","0006",격리실 입원료_음압,여,입원,"25_29세",1540.4,6.5,1476501.0
"2020-2024","0006",격리실 입원료_음압,남,입원,"25_29세",1459.4,7.4,1684711.0
"2020-2024","0006",격리실 입원료_음압,여,입원,"30_34세",1948.6,6.3,1438497.0
"2020-2024","0006",격리실 입원료_음압,남,입원,"30_34세",1375.0,7.4,1673846.0
"2020-2024","0006",격리실 입원료_음압,여,입원,"35_39세",2113.2,6.5,1460720.0
"2020-2024","0006",격리실 입원료_음압,남,입원,"35_39세",1702.4,7.3,1654151.0
"2020-2024","0006",격리실 입원료_음압,여,입원,"40_44세",2095.2,6.8,1487731.0
"2020-2024","0006",격리실 입원료_음압,남,입원,"40_44세",1911.6,7.3,1659653.0
"2020-2024","0006",격리실 입원료_음압,여,입원,"45_49세",2183.6,7.2,1579523.0
"2020-2024","0006",격리실 입원료_음압,남,입원,"45_49세",2042.2,7.7,1771947.0
"2020-2024","0006",격리실 입원료_음압,여,입원,"50_54세",2662.4,7.3,1625408.0
"2020-2024","0006",격리실 입원료_음압,남,입원,"50_54세",2392.2,7.7,1803064.0
"2020-2024","0006",격리실 입원료_음압,여,입원,"55_59세",2895.8,7.2,1617593.0
"2020-2024","0006",격리실 입원료_음압,남,입원,"55_59세",2611.0,7.6,1821918.0
"2020-2024","0006",격리실 입원료_음압,여,입원,"5_9세",812.2,6.5,1442166.0
"2020-2024","0006",격리실 입원료_음압,남,입원,"5_9세",987.4,6.3,1416278.0
"2020-2024","0006",격리실 입원료_음압,여,입원,"60_64세",4132.2,7.2,1597479.0
"2020-2024","0006",격리실 입원료_음압,남,입원,"60_64세",3840.2,7.5,1812464.0
"2020-2024","0006",격리실 입원료_음압,여,입원,"65_69세",4173.4,7.3,1630483.0
"2020-2024","0006",격리실 입원료_음압,남,입원,"65_69세",4208.8,7.3,1771561.0
"2020-2024","0006",격리실 입원료_음압,여,입원,"70_74세",3844.4,7.1,1625103.0
"2020-2024","0006",격리실 입원료_음압,남,입원,"70_74세",4314.2,7.1,1755098.0
"2020-2024","0006",격리실 입원료_음압,여,입원,"75_79세",3918.8,6.7,1611391.0
"2020-2024","0006",격리실 입원료_음압,남,입원,"75_79세",4125.8,6.7,1723538.0
"2020-2024","0006",격리실 입원료_음압,여,입원,"80세 이상",11592.8,6.8,1619369.0
"2020-2024","0006",격리실 입원료_음압,남,입원,"80세 이상",7766.6,6.5,1693670.0
"2020-2024","0007",회전근개수술[견봉성형술 포함],여,수술,"10_14세",3.8,1.1,545576.0
