"대분류","중분류","국민관심진료행위코드","국민관심진료행위명"
기타/진료지원,진료지원 및 마취,23,다학제 통합진료
기타/진료지원,진료지원 및 마취,26,"마취_정맥, 전신, 척추 마취 등"
기타/진료지원,진료지원 및 마취,54,유도 초음파
기타/진료지원,진료지원 및 마취,135,전신마취
논외,가정간호,2,가정간호
상해,상해 수술,7,회전근개수술[견봉성형술 포함]
상해,상해 수술,28,반월판 연골절제술
상해,상해 수술,45,십자인대성형술
상해,상해 수술,59,인공관절 치환술_고관절
상해,상해 수술,60,인공관절 치환술_견관절
상해,상해 수술,61,인공관절 치환술_슬관절
상해,상해 수술,62,인공관절 치환술_주관절
상해,상해 수술,63,인공관절 치환술_완관절
상해,상해 수술,64,인공관절 치환술_족관절
상해,상해 수술,65,인공관절 치환술_지관절
상해,상해 수술,73,장기이식_각막
상해,상해 수술,75,장기이식_공막
상해,상해 수술,118,반월상연골봉합술
상해,상해 수술,119,반월상연골이식술
상해,상해 수술,131,절골술
상해,상해 진단,13,관절경 검사
상해,상해 치료,27,물리치료-기본
상해,상해 치료,68,화상 처치
상해,상해 치료,82,재활치료-단순
상해,상해 치료,83,재활치료-전문
상해,상해 치료,132,창상봉합술
순환계 질환,순환계 질환 수술,9,경피적 관상동맥 중재술(PCI)
순환계 질환,순환계 질환 수술,10,경피적 대동맥판 삽입
순환계 질환,순환계 질환 수술,12,관상동맥 우회술(CABG)
순환계 질환,순환계 질환 수술,31,부정맥수술
순환계 질환,순환계 질환 진단,97,진단 초음파_심장
순환계 질환,순환계 질환 진단,100,진단 초음파_혈관
순환계 질환,순환계 질환 진단,114,특수 초음파-심장
순환계 질환,순환계 질환 치료,133,체외순환막형산화요법(ECMO)
신경계 질환,신경계 수술,42,신경파괴술
신경계 질환,신경계 진단,129,신경인지기능검사
신경계 질환,신경계 치료,41,신경차단술
암,방사선 치료,128,방사선치료
암,암 수술,8,결장경하 종양수술
암,암 수술,19,내시경적 상부소화관 종양수술
암,암 수술,22,뇌종양 수술
암,암 수술,40,식도종양 수술
암,암 치료,3,간암열치료술
암,암 치료,20,내시경적 역행성 담(췌)관 조영술
암,암 치료,91,조혈모세포이식
암,유사암 수술,4,갑상선 수술
입원,입원료,5,격리실 입원료_일반
입원,입원료,6,격리실 입원료_음압
입원,입원료,92,중환자실 입원료
질병,질병 수술,25,대장절제술
질병,질병 수술,49,역행성 담(췌)관 내시경 수술
질병,질병 수술,53,위절제술
질병,질병 수술,74,장기이식_간
질병,질병 수술,76,장기이식_소장
질병,질병 수술,77,장기이식_신장
질병,질병 수술,78,장기이식_심장
질병,질병 수술,79,장기이식_췌장
질병,질병 수술,80,장기이식_폐
질병,질병 수술,81,장루조성술
질병,질병 수술,134,백내장 수술_DRG 제외
질병,질병 진단,1,C형간염(hepatitis C)검사
질병,질병 진단,15,기관지경 검사
질병,질병 진단,16,기본 초음파
질병,질병 진단,24,대장 내시경
질병,질병 진단,30,방사선 단순영상
질병,질병 진단,36,상부소화관 내시경검사
질병,질병 진단,48,양전자방출단층촬영(PET)
질병,질병 진단,51,요소호흡검사
질병,질병 진단,71,자기공명영상진단(MRI)
질병,질병 진단,72,잠복결핵감염 검사
질병,질병 진단,85,전산화단층영상진단(CT)
질병,질병 진단,86,CT_Cone Beam CT
질병,질병 진단,94,진단 초음파
질병,질병 진단,95,진단 초음파_두경부
질병,질병 진단,96,진단 초음파_흉부
질병,질병 진단,98,진단 초음파_복부
질병,질병 진단,99,"진단 초음파_근골격,연부"
질병,질병 진단,101,진단 초음파_신경
질병,질병 진단,102,진단 초음파_임산부
질병,질병 진단,106,초음파 검사
질병,질병 진단,121,풍선 소장 내시경
질병,질병 진단,124,후두경검사
질병,질병 진단,127,자기공명영상진단(MRI)_판독료 등 제외
질병,질병 진단,136,CT_두부
질병,질병 진단,137,CT_안면 및 두개기저
질병,질병 진단,138,CT_경부
질병,질병 진단,139,CT_흉부
질병,질병 진단,140,CT_복부
질병,질병 진단,141,CT_척추
질병,질병 진단,142,CT_상지
질병,질병 진단,143,CT_하지
질병,질병 치료,87,정신요법-가족치료
질병,질병 치료,88,정신요법-개인정신치료
질병,질병 치료,89,정신요법-집단정신치료
질병,질병 치료,112,투석_혈액투석
질병,질병 치료,113,투석_복막투석
